Participant_id,Technique,Gesture_set,height,distance,Checkpoint_time,Object_view_time,mistake_count,personalization_type
10,WRIST_ARM,GS2,0,10.5,3.437995,0.8067788,0,W1
10,WRIST_ARM,GS2,0,7,2.370799,0.5854505,1,W1
10,WRIST_ARM,GS2,2.5,3.5,7.209808,2.309217,0,W1
10,WRIST_ARM,GS2,0,10.5,9.329201,0.4166597,0,W1
10,WRIST_ARM,GS2,2.5,10.5,3.239807,0.765256,0,W1
10,WRIST_ARM,GS2,0,7,3.217573,1.04545,1,W1
10,WRIST_ARM,GS2,5,7,3.522492,0.5708782,0,W1
10,WRIST_ARM,GS2,0,7,3.441607,0.7938779,1,W1
10,WRIST_ARM,GS2,2.5,7,11.13618,1.654791,3,W1
10,WRIST_ARM,GS2,0,10.5,3.078622,0.3190763,0,W1
10,WRIST_ARM,GS2,5,10.5,4.801564,0.6401598,0,W1
10,WRIST_ARM,GS2,0,10.5,2.464311,0.5554582,0,W1
10,WRIST_ARM,GS2,0,7,3.018206,0.6127013,0,W1
10,WRIST_ARM,GS2,2.5,10.5,3.091419,1.03115,1,W1
10,WRIST_ARM,GS2,0,10.5,6.741942,0.918656,1,W1
10,WRIST_ARM,GS2,2.5,3.5,2.894247,0.9437666,0,W1
10,WRIST_ARM,GS2,0,3.5,4.790788,1.183061,1,W1
10,WRIST_ARM,GS2,5,3.5,3.534923,1.374767,0,W1
10,WRIST_ARM,GS2,0,3.5,3.607373,1.515773,0,W1
10,WRIST_ARM,GS2,0,3.5,2.420356,1.041024,0,W1
10,WRIST_ARM,GS2,5,10.5,5.710154,0.9051563,1,W1
10,WRIST_ARM,GS2,0,7,3.797181,1.781431,0,W1
10,WRIST_ARM,GS2,0,3.5,2.148905,1.131519,0,W1
10,WRIST_ARM,GS2,2.5,7,2.696599,0.5539299,0,W1
10,WRIST_ARM,GS2,0,3.5,3.079633,1.285359,0,W1
10,WRIST_ARM,GS2,0,3.5,2.616215,1.209345,0,W1
10,WRIST_ARM,GS2,0,10.5,3.289099,0.6392673,0,W1
10,WRIST_ARM,GS2,5,3.5,4.160259,2.21004,1,W1
10,WRIST_ARM,GS2,0,10.5,8.268532,0.8750233,0,W1
10,WRIST_ARM,GS2,2.5,3.5,2.211904,0.7365975,0,W1
10,WRIST_ARM,GS2,0,7,2.577169,0.5986487,0,W1
10,WRIST_ARM,GS2,5,7,2.713576,0.7366058,0,W1
10,WRIST_ARM,GS2,0,3.5,2.897254,1.38032,0,W1
10,WRIST_ARM,GS2,0,7,2.171859,0.6128032,0,W1
10,WRIST_ARM,GS2,5,3.5,5.22208,2.063776,0,W1
10,WRIST_ARM,GS2,0,7,2.894778,1.153904,0,W1
10,WRIST_ARM,GS2,2.5,10.5,6.864126,0.9860302,0,W1
10,WRIST_ARM,GS2,0,3.5,4.258374,1.291936,0,W1
10,WRIST_ARM,GS2,0,10.5,3.928746,0.6133052,0,W1
10,WRIST_ARM,GS2,0,10.5,2.419834,0.6399933,0,W1
10,WRIST_ARM,GS2,2.5,7,1.730238,0.5862944,1,W1
10,WRIST_ARM,GS2,0,7,2.588953,0.5862944,1,W1
10,WRIST_ARM,GS2,5,3.5,4.006122,1.584148,0,W1
10,WRIST_ARM,GS2,0,10.5,4.444893,0.5731373,0,W1
10,WRIST_ARM,GS2,5,3.5,4.270592,1.8334,0,W1
10,WRIST_ARM,GS2,0,7,3.538314,0.8647111,0,W1
10,WRIST_ARM,GS2,2.5,10.5,4.163066,0.7366126,0,W1
10,WRIST_ARM,GS2,0,3.5,3.46628,2.142276,1,W1
10,WRIST_ARM,GS2,5,10.5,4.358278,0.5975823,0,W1
10,WRIST_ARM,GS2,0,7,2.813118,0.9869018,0,W1
