,Timestamp,Participant_id,Technique,Gesture_set,Pointer_type,height,distance,Checkpoint_time,Object_view_time,Total_time,mistake_count,d_from_center,d_from_center_with_spike,combo_index,,,,,,,,,,
W1,7/27/2022 15:00,1,WRIST_ARM,GS2,G,0,11,2.58953,1.0051,48.24055,0,0.425305,1.118571,20,,,,,,,,,,
W1,7/27/2022 15:00,1,WRIST_ARM,GS2,G,5,11,2.895859,0.2569684,51.13639,1,0.4995785,0.4995785,21,,,,,,,,,,
W1,7/27/2022 15:00,1,WRIST_ARM,GS2,G,0,11,1.840123,0.4951724,52.97651,0,0.4326234,0.4326234,22,,,,,,,,,,
W1,7/27/2022 15:00,1,WRIST_ARM,GS2,G,2.5,11,2.141584,0.7448568,55.11808,0,0.4932793,5.624269,23,,,,,,,,,,
W1,7/27/2022 15:00,1,WRIST_ARM,GS2,G,0,11,1.642932,0.45053,56.76101,0,0.4028259,1.541564,24,,,,,,,,,,
W1,7/27/2022 15:00,1,WRIST_ARM,GS2,G,2.5,5.5,1.280588,0.2225836,58.0416,0,0.4531759,9.760942,25,,,,,,,,,,
W1,7/27/2022 15:00,1,WRIST_ARM,GS2,G,0,11,2.895766,0.9513944,60.93739,0,0.4256117,0.5045902,26,,,,,,,,,,
W1,7/27/2022 15:00,1,WRIST_ARM,GS2,G,5,5.5,1.890924,0.5671133,62.82832,0,0.5110441,12.88811,27,,,,,,,,,,
W1,7/27/2022 15:00,1,WRIST_ARM,GS2,G,0,5.5,2.369632,1.302837,65.19795,0,0.4906397,0.4906397,28,,,,,,,,,,
W1,7/27/2022 15:00,1,WRIST_ARM,GS2,G,0,5.5,2.67249,0.3527755,67.87043,2,0.4545682,0.4545682,29,,,,,,,,,,
W1,7/27/2022 15:00,1,WRIST_ARM,GS2,G,5,11,2.868114,0.5869384,70.73853,0,0.4516079,0.4516079,30,2.248157621,,,,,,,,,
W3,7/27/2022 15:00,1,WRIST_ARM,GS2,G,0,5.5,1.12804,0.5869384,1.12804,1,0.4938026,0.7893354,1,,,,,,,,,,
W3,7/27/2022 15:00,1,WRIST_ARM,GS2,G,5,5.5,2.439177,0.48515,3.567216,0,0.5013544,0.4908547,2,,,,,,,,,,
