Condition,Timestamp,Participant_id,Technique,Gesture_set,Pointer_type,height,distance,Checkpoint_time,Object_view_time,Total_time,mistake_count,d_from_center,d_from_center_with_spike,combo_index
W4,7/25/2022 16:59,1,WRIST_ARM,GS2,G,0,11,2.040282,0.8456479,23.69968,0,0.4857068,0.4857068,13
W4,7/25/2022 16:59,1,WRIST_ARM,GS2,G,5,5.5,2.261557,0.7083795,25.96124,0,0.5153906,0.5153906,14
W4,7/25/2022 16:59,1,WRIST_ARM,GS2,G,0,11,1.795984,0.3859424,27.75721,0,0.4443513,0.4443513,15
W4,7/25/2022 16:59,1,WRIST_ARM,GS2,G,2.5,5.5,1.545326,0.6832653,29.30253,0,0.4309429,0.4309429,16
W4,7/25/2022 16:59,1,WRIST_ARM,GS2,G,0,11,3.717764,0.2486046,33.02029,2,0.4413715,0.4413715,17
W4,7/25/2022 16:59,1,WRIST_ARM,GS2,G,5,5.5,1.531078,0.3758112,34.55137,0,0.5137362,0.5137362,18
W4,7/25/2022 16:59,1,WRIST_ARM,GS2,G,0,11,1.810377,0.784637,36.36174,0,0.4178934,0.5109122,19
W4,7/25/2022 16:59,1,WRIST_ARM,GS2,G,5,11,1.83737,0.29207,38.19912,0,0.4998918,0.4998918,20
W5,7/25/2022 16:59,1,WRIST_ARM,GS2,G,0,11,1.941584,0.29207,1.941584,1,0.4611941,0.4852746,1
W5,7/25/2022 16:59,1,WRIST_ARM,GS2,G,2.5,5.5,1.191309,0.01377922,3.132893,0,0.4848482,0.4658213,2
W5,7/25/2022 16:59,1,WRIST_ARM,GS2,G,0,5.5,1.391999,0.166557,4.524892,0,0.4313731,0.4313731,3
W5,7/25/2022 16:59,1,WRIST_ARM,GS2,G,5,11,2.073785,0.5802404,6.598676,0,0.495945,0.495945,4
W5,7/25/2022 16:59,1,WRIST_ARM,GS2,G,0,5.5,1.838344,0.4057679,8.43702,0,0.4791165,0.4791165,5
W5,7/25/2022 16:59,1,WRIST_ARM,GS2,G,0,5.5,1.26683,0.2064251,9.703854,0,0.4476549,0.4476549,6
W5,7/25/2022 16:59,1,WRIST_ARM,GS2,G,2.5,11,3.076549,0.5012434,12.7804,1,0.5066813,0.5066813,7
W5,7/25/2022 17:00,1,WRIST_ARM,GS2,G,0,5.5,1.754628,0.7140716,14.53503,0,0.4931923,0.4931923,8
W5,7/25/2022 17:00,1,WRIST_ARM,GS2,G,2.5,5.5,2.046549,1.015584,16.58158,0,0.4847321,0.4847321,9
W5,7/25/2022 17:00,1,WRIST_ARM,GS2,G,0,11,1.614525,0.3321834,18.19611,0,0.4138159,0.4138159,10
W5,7/25/2022 17:00,1,WRIST_ARM,GS2,G,5,5.5,2.046795,0.5014634,20.2429,0,0.4677294,0.4677294,11
W5,7/25/2022 17:00,1,WRIST_ARM,GS2,G,0,5.5,1.977129,0.8357086,22.22003,0,0.4306362,0.4306362,12
W5,7/25/2022 17:00,1,WRIST_ARM,GS2,G,0,11,2.060331,0.752867,24.28037,0,0.4742033,0.4742033,13
W5,7/25/2022 17:00,1,WRIST_ARM,GS2,G,5,5.5,1.684715,0.3403169,25.96509,0,0.4915902,0.4915902,14
W5,7/25/2022 17:00,1,WRIST_ARM,GS2,G,0,11,1.907443,0.3802858,27.87252,0,0.5045686,0.5045686,15
W5,7/25/2022 17:00,1,WRIST_ARM,GS2,G,0,5.5,1.4618,0.1948341,29.33432,0,0.4946943,0.4755318,16
W5,7/25/2022 17:00,1,WRIST_ARM,GS2,G,5,11,2.506067,0.2558668,31.84038,0,0.5022097,7.851984,17
W5,7/25/2022 17:00,1,WRIST_ARM,GS2,G,0,11,2.06041,0.6747066,33.90079,0,0.4909803,0.4723077,18
W5,7/25/2022 17:00,1,WRIST_ARM,GS2,G,0,11,1.782105,0.3530596,35.6829,0,0.4954306,0.4954306,19
W5,7/25/2022 17:00,1,WRIST_ARM,GS2,G,2.5,11,2.130353,0.5850506,37.81322,0,0.4837708,0.4837708,20
