,participant_id,technique,gesture_set,pointer_type,height,distance,checkpoint_time_o,checkpoint_time,object_view_time,,mistake_count,d_from_center,d_from_center_with_spike,arm_distance,arm_height,wrist_angle,personalization_type,curveCombo,combo_index
,2,WRIST_ARM,GS2,G,0,7.5,2.110373,2.110373,1.149396,,1,0.3501818,0.3173526,6.990802,4.783658,25.19386,W3,C0,4
,2,WRIST_ARM,GS2,G,0,7.5,2.201187,2.201187,0.8483144,,0,0.3152456,3.671583,7.090102,0.003733516,354.45,W3,C0,5
,2,WRIST_ARM,GS2,G,5,7.5,4.398273,4.398273,0.5555767,,0,0.3152456,3.671583,7.038874,-4.806783,325.523,W3,C0,6
,2,WRIST_ARM,GS2,G,0,10.5,2.65945,2.65945,0.6123405,,0,0.3668424,2.338658,10.04334,4.828486,9.208826,W3,C0,7
,2,WRIST_ARM,GS2,G,5,7.5,2.562773,2.562773,0.7234173,,0,0.3668424,2.338658,7.018668,-4.793667,326.6112,W3,C0,8
,2,WRIST_ARM,GS2,G,0,10.5,4.483525,4.483525,0.8744996,,1,0.3179174,0.3179174,10.1339,4.871197,3.262608,W3,C0,9
,2,WRIST_ARM,GS2,G,0,7.5,2.840711,2.840711,0.8058839,,0,0.2549765,5.527909,0.4864295,-0.03294289,355.8255,W3,C0,10
,2,WRIST_ARM,GS2,G,5,10.5,3.330354,3.330354,0.7495296,,0,0.2549765,5.527909,10.09938,-4.772691,323.4812,W3,C0,11
,2,WRIST_ARM,GS2,G,0,10.5,3.280087,3.280087,0.6762771,,0,0.2427883,3.045504,9.932623,4.791759,14.11349,W3,C0,12
,2,WRIST_ARM,GS2,G,0,10.5,4.526284,4.526284,0.7099051,,1,0.2975295,0.2975295,10.03366,-0.007923961,346.3126,W3,C0,13
,2,WRIST_ARM,GS2,G,5,10.5,3.634135,3.634135,0.5967444,,0,0.2975295,0.2975295,10.03515,-4.871753,324.0246,W3,C0,14
,2,WRIST_ARM,GS2,G,0,7.5,2.171479,2.171479,0.8739721,,0,0.2975295,0.2975295,0.3520821,-0.2146908,16.53468,W3,C0,15
,2,WRIST_ARM,GS2,G,0,7.5,1.836931,1.836931,0.4584498,,0,0.2975295,0.2975295,7.043226,-0.07478583,354.5268,W3,C0,16
,2,WRIST_ARM,GS2,G,0,10.5,2.63294,2.63294,0.5005726,,0,0.2975295,0.2975295,10.05903,0.01651978,343.6426,W3,C0,17
,2,WRIST_ARM,GS2,G,5,7.5,3.007275,3.007275,0.6107462,,0,0.2975295,0.2975295,7.013897,-4.739239,319.2451,W3,C0,18
,2,WRIST_ARM,GS2,G,0,7.5,2.101252,2.101252,0.7355168,,0,0.312177,2.509922,7.134982,4.807249,10.13413,W3,C0,19
,2,WRIST_ARM,GS2,G,0,7.5,1.602638,1.602638,0.4154901,,0,0.3667973,0.3667973,0.4768555,-0.0345571,356.5546,W3,C0,20
,2,WRIST_ARM,GS2,G,0,10.5,5.23384,5.23384,0.40153,,1,0.3022202,0.3022202,10.03558,-0.03600013,350.7854,W3,C0,21
,2,WRIST_ARM,GS2,G,5,10.5,2.702438,2.702438,0.625589,,0,0.3022202,0.3022202,0.436762,0.2221823,323.7189,W3,C0,22
,2,WRIST_ARM,GS2,G,0,7.5,2.822887,2.822887,0.8862048,,0,0.3022202,0.3022202,7.123878,4.87269,3.47843,W3,C0,23
,2,WRIST_ARM,GS2,G,5,7.5,2.72946,2.72946,0.6399088,,0,0.3022202,0.3022202,7.107706,-4.834975,328.048,W3,C0,24
,2,WRIST_ARM,GS2,G,0,10.5,4.330094,4.330094,1.041423,,1,0.2401308,0.3573556,10.11023,4.995396,353.2821,W3,C0,25
,2,WRIST_ARM,GS2,G,5,7.5,4.177389,4.177389,0.7240341,,1,0.2401308,0.3573556,0.4063873,0.1849895,321.6105,W3,C0,26
,2,WRIST_ARM,GS2,G,0,10.5,4.551463,4.551463,0.6931825,,1,0.3148066,0.342551,10.09767,4.939832,357.1779,W3,C0,27
,2,WRIST_ARM,GS2,G,0,7.5,2.004416,2.004416,0.6677415,,0,0.2963739,3.484061,7.028677,-0.02416158,357.7866,W3,C0,28
,2,WRIST_ARM,GS2,G,0,10.5,4.485025,4.485025,0.9745116,,1,0.2731594,2.570911,0.4242042,0.03713334,351.7236,W3,C0,29
,2,WRIST_ARM,GS2,G,5,10.5,2.60351,2.60351,0.6246333,,0,0.2731594,2.570911,0.4524971,0.2551594,324.2042,W3,C0,30
,2,WRIST_ARM,GS2,G,0,7.5,1.657299,1.657299,0.6246333,,16,0.3564602,2.788575,7.048654,-0.03692234,359.7667,W3,C0,1
,2,WRIST_ARM,GS2,G,0,7.5,2.504719,2.504719,0.3752128,,1,0.3564602,2.788575,6.973313,-0.04511464,359.6029,W3,C0,2
