participant_id,height,distance,checkpoint_time,mistake_count,pointerHand,confirmationType,Tech,targetSize,combo_index
1,0,11,3.520978,0,righthand,lefthand,righthandlefthand,0.5,4
1,0,11,4.598326,2,righthand,lefthand,righthandlefthand,0.7,5
1,0,5.5,1.752447,0,righthand,lefthand,righthandlefthand,0.5,6
1,0,5.5,1.367386,0,righthand,lefthand,righthandlefthand,0.7,7
1,0,5.5,1.339746,0,righthand,lefthand,righthandlefthand,0.7,8
1,0,11,4.75697,0,righthand,lefthand,righthandlefthand,0.5,9
1,5,5.5,1.655718,0,righthand,lefthand,righthandlefthand,0.9,10
1,0,5.5,1.964647,0,righthand,lefthand,righthandlefthand,0.7,11
1,5,11,2.685095,0,righthand,lefthand,righthandlefthand,0.9,12
1,0,5.5,1.950953,1,righthand,lefthand,righthandlefthand,0.7,13
1,0,11,3.144415,0,righthand,lefthand,righthandlefthand,0.5,14
1,5,11,3.303893,0,righthand,lefthand,righthandlefthand,0.5,15
1,0,11,2.560015,0,righthand,lefthand,righthandlefthand,0.9,16
1,0,5.5,1.431845,0,righthand,lefthand,righthandlefthand,0.9,17
1,5,11,2.142313,1,righthand,lefthand,righthandlefthand,0.7,18
1,0,11,1.925072,0,righthand,lefthand,righthandlefthand,0.7,19
1,0,11,2.616242,2,righthand,lefthand,righthandlefthand,0.7,20
1,0,11,1.506505,0,righthand,lefthand,righthandlefthand,0.9,21
1,0,11,1.974101,1,righthand,lefthand,righthandlefthand,0.5,22
1,5,5.5,1.646617,0,righthand,lefthand,righthandlefthand,0.9,23
1,0,11,2.013978,1,righthand,lefthand,righthandlefthand,0.9,24
1,0,5.5,1.88366,0,righthand,lefthand,righthandlefthand,0.5,25
1,5,11,2.322322,0,righthand,lefthand,righthandlefthand,0.7,26
1,0,11,2.493628,0,righthand,lefthand,righthandlefthand,0.9,27
1,5,5.5,2.226954,0,righthand,lefthand,righthandlefthand,0.9,28
1,0,5.5,2.173394,1,righthand,lefthand,righthandlefthand,0.5,29
1,5,11,2.196607,0,righthand,lefthand,righthandlefthand,0.9,30
1,0,5.5,1.646088,0,righthand,lefthand,righthandlefthand,0.9,31
1,5,5.5,1.653738,1,righthand,lefthand,righthandlefthand,0.7,32
1,0,5.5,2.243741,1,righthand,lefthand,righthandlefthand,0.7,33
1,5,11,2.726564,1,righthand,lefthand,righthandlefthand,0.7,34
1,0,11,2.170773,0,righthand,lefthand,righthandlefthand,0.7,35
1,0,5.5,1.447249,0,righthand,lefthand,righthandlefthand,0.9,36
1,0,11,1.395682,0,righthand,lefthand,righthandlefthand,0.9,37
1,0,11,1.363125,0,righthand,lefthand,righthandlefthand,0.5,38
1,0,11,1.574719,0,righthand,lefthand,righthandlefthand,0.7,39
1,5,5.5,2.64485,0,righthand,lefthand,righthandlefthand,0.5,40
1,0,11,1.880987,0,righthand,lefthand,righthandlefthand,0.7,41
1,5,5.5,1.501815,0,righthand,lefthand,righthandlefthand,0.9,42
1,0,11,2.257313,0,righthand,lefthand,righthandlefthand,0.9,43
1,5,11,2.976249,0,righthand,lefthand,righthandlefthand,0.5,44
1,0,11,2.479917,0,righthand,lefthand,righthandlefthand,0.5,45
1,0,11,1.73961,0,righthand,lefthand,righthandlefthand,0.7,46
1,0,5.5,1.283903,0,righthand,lefthand,righthandlefthand,0.7,47
1,0,5.5,1.111051,0,righthand,lefthand,righthandlefthand,0.7,48
1,5,11,2.50952,0,righthand,lefthand,righthandlefthand,0.5,49
1,0,11,3.018345,0,righthand,lefthand,righthandlefthand,0.5,50
1,5,5.5,2.161199,0,righthand,lefthand,righthandlefthand,0.5,51
1,0,5.5,3.29561,0,righthand,lefthand,righthandlefthand,0.5,52
1,5,5.5,2.607486,0,righthand,lefthand,righthandlefthand,0.7,53
1,0,5.5,2.280445,0,righthand,lefthand,righthandlefthand,0.5,54
1,5,5.5,2.356137,0,righthand,lefthand,righthandlefthand,0.7,55
1,0,11,2.210462,0,righthand,lefthand,righthandlefthand,0.9,56
1,0,5.5,1.213388,0,righthand,lefthand,righthandlefthand,0.9,57
1,5,5.5,2.299236,0,righthand,lefthand,righthandlefthand,0.5,58
1,0,5.5,1.638932,0,righthand,lefthand,righthandlefthand,0.9,59
1,0,11,2.032513,0,righthand,lefthand,righthandlefthand,0.5,60
1,5,11,2.298965,0,righthand,lefthand,righthandlefthand,0.9,61
1,0,11,3.463004,2,righthand,timeout,righthandtimeout,0.5,1
1,0,11,3.227914,0,righthand,timeout,righthandtimeout,0.5,2
1,0,11,2.873183,0,righthand,timeout,righthandtimeout,0.9,3
1,5,5.5,2.434434,0,righthand,timeout,righthandtimeout,0.9,4
1,0,11,2.773154,0,righthand,timeout,righthandtimeout,0.5,5
1,5,5.5,2.796337,0,righthand,timeout,righthandtimeout,0.5,6
1,0,5.5,3.482363,0,righthand,timeout,righthandtimeout,0.9,7
1,5,5.5,2.198206,0,righthand,timeout,righthandtimeout,0.5,8
1,0,11,5.694701,2,righthand,timeout,righthandtimeout,0.9,9
1,5,5.5,2.728849,0,righthand,timeout,righthandtimeout,0.9,10
1,0,11,4.818184,1,righthand,timeout,righthandtimeout,0.5,11
1,5,11,4.940606,0,righthand,timeout,righthandtimeout,0.5,12
1,0,5.5,2.299296,0,righthand,timeout,righthandtimeout,0.9,13
1,5,11,2.978158,0,righthand,timeout,righthandtimeout,0.9,14
1,0,11,3.98388,0,righthand,timeout,righthandtimeout,0.9,15
1,5,11,1.974073,0,righthand,timeout,righthandtimeout,0.9,16
1,0,5.5,2.673097,0,righthand,timeout,righthandtimeout,0.9,17
1,0,11,3.492774,0,righthand,timeout,righthandtimeout,0.9,18
1,5,5.5,2.412692,0,righthand,timeout,righthandtimeout,0.7,19
1,0,5.5,3.115319,0,righthand,timeout,righthandtimeout,0.7,20
1,0,11,6.143074,0,righthand,timeout,righthandtimeout,0.5,21
1,0,5.5,2.029182,0,righthand,timeout,righthandtimeout,0.5,22
1,0,11,3.49848,0,righthand,timeout,righthandtimeout,0.7,23
1,0,11,4.300229,0,righthand,timeout,righthandtimeout,0.7,24
1,0,5.5,2.078164,0,righthand,timeout,righthandtimeout,0.5,25
1,5,11,3.05852,0,righthand,timeout,righthandtimeout,0.9,26
1,0,5.5,2.480614,0,righthand,timeout,righthandtimeout,0.5,27
1,5,11,3.979823,0,righthand,timeout,righthandtimeout,0.5,28
1,0,11,6.09952,0,righthand,timeout,righthandtimeout,0.9,29
1,0,11,3.882128,0,righthand,timeout,righthandtimeout,0.9,30
1,5,11,2.16146,0,righthand,timeout,righthandtimeout,0.7,31
1,0,11,3.671857,0,righthand,timeout,righthandtimeout,0.7,32
1,0,11,3.359232,0,righthand,timeout,righthandtimeout,0.7,33
1,0,5.5,2.33584,0,righthand,timeout,righthandtimeout,0.5,34
